ProductID,ProductName,Category,StoreID,Date,UnitsSold,UnitsInStock,UnitCost,UnitPrice,Season
P004,Board Game D,Board Games,102,05-02-2023,15,36,11.46,19.37,Christmas
P004,Board Game D,Board Games,103,05-02-2023,20,30,18.56,22.41,Diwali
P001,Action Figure A,Action Figures,101,12-02-2023,28,50,17.61,29.44,None
P001,Action Figure A,Action Figures,102,12-02-2023,13,178,8.26,14.71,Summer Holiday
P001,Action Figure A,Action Figures,103,12-02-2023,35,131,9.27,14.06,Diwali
P002,Puzzle Set B,Puzzles,101,12-02-2023,19,133,7.71,15.4,None
P002,Puzzle Set B,Puzzles,102,12-02-2023,49,145,17.31,34.05,Diwali
P002,Puzzle Set B,Puzzles,103,12-02-2023,7,21,18.84,26.84,Diwali
P003,Doll C,Dolls,101,12-02-2023,36,146,19.32,35.67,None
P003,Doll C,Dolls,102,12-02-2023,36,31,6.98,8.69,Summer Holiday
P003,Doll C,Dolls,103,12-02-2023,38,81,6.28,8.46,None
P004,Board Game D,Board Games,101,12-02-2023,41,163,9.57,13.32,Back to School
P004,Board Game D,Board Games,102,12-02-2023,5,116,18.94,34.96,Summer Holiday
P004,Board Game D,Board Games,103,12-02-2023,37,199,11.4,21.78,Summer Holiday
P001,Action Figure A,Action Figures,101,19-02-2023,46,31,15.64,25.27,Christmas
P001,Action Figure A,Action Figures,102,19-02-2023,14,168,10.12,13.66,None
P001,Action Figure A,Action Figures,103,19-02-2023,25,130,9.49,11.76,Back to School
P002,Puzzle Set B,Puzzles,101,19-02-2023,6,51,9.98,14.92,Back to School
P002,Puzzle Set B,Puzzles,102,19-02-2023,7,59,14.19,22.86,Christmas
P002,Puzzle Set B,Puzzles,103,19-02-2023,40,76,18,31.31,Christmas
P003,Doll C,Dolls,101,19-02-2023,38,38,6.08,11.84,Christmas
P003,Doll C,Dolls,102,19-02-2023,10,39,8.73,14.9,Christmas
P003,Doll C,Dolls,103,19-02-2023,16,97,18.7,31.68,None
P004,Board Game D,Board Games,101,19-02-2023,42,108,9.84,14.35,Christmas
P004,Board Game D,Board Games,102,19-02-2023,34,123,6.45,10.49,Diwali
P004,Board Game D,Board Games,103,19-02-2023,28,163,11.07,21.24,Back to School
P001,Action Figure A,Action Figures,101,26-02-2023,46,174,7.86,14.33,Summer Holiday
P001,Action Figure A,Action Figures,102,26-02-2023,37,150,15.55,24.08,Back to School
P001,Action Figure A,Action Figures,103,26-02-2023,38,83,17.96,24.25,Diwali
P002,Puzzle Set B,Puzzles,101,26-02-2023,42,120,13.97,20.31,Diwali
P002,Puzzle Set B,Puzzles,102,26-02-2023,26,187,10.71,16.01,Christmas
P002,Puzzle Set B,Puzzles,103,26-02-2023,5,42,16.88,27.46,Diwali
P003,Doll C,Dolls,101,26-02-2023,29,83,9.01,12.74,None
P003,Doll C,Dolls,102,26-02-2023,32,24,10.16,15.08,Christmas
P003,Doll C,Dolls,103,26-02-2023,36,81,13.18,20.52,Back to School
P004,Board Game D,Board Games,101,26-02-2023,39,196,9.44,12.79,Summer Holiday
P004,Board Game D,Board Games,102,26-02-2023,29,45,14.22,22.71,Back to School
P004,Board Game D,Board Games,103,26-02-2023,5,58,12.77,20.89,Back to School
P001,Action Figure A,Action Figures,101,05-03-2023,24,37,5.41,10.75,Diwali
P001,Action Figure A,Action Figures,102,05-03-2023,39,98,5.07,7.41,None
P001,Action Figure A,Action Figures,103,05-03-2023,38,22,11.11,16.79,Diwali
P002,Puzzle Set B,Puzzles,101,05-03-2023,24,38,14.08,17.09,Diwali
P002,Puzzle Set B,Puzzles,102,05-03-2023,47,116,9.96,13.33,Diwali
P002,Puzzle Set B,Puzzles,103,05-03-2023,20,63,14.48,20.42,Christmas
P003,Doll C,Dolls,101,05-03-2023,8,90,10.89,18.6,Back to School
P003,Doll C,Dolls,102,05-03-2023,9,142,13.45,22.63,Back to School
P003,Doll C,Dolls,103,05-03-2023,40,143,5.92,8.5,Summer Holiday
P004,Board Game D,Board Games,101,05-03-2023,30,95,13.49,21.74,Christmas
P004,Board Game D,Board Games,102,05-03-2023,20,119,6.94,12.43,Summer Holiday
P004,Board Game D,Board Games,103,05-03-2023,34,193,9.79,14.64,None
P001,Action Figure A,Action Figures,101,12-03-2023,49,82,11.5,20.19,None
P001,Action Figure A,Action Figures,102,12-03-2023,24,30,10.53,12.93,Christmas
P001,Action Figure A,Action Figures,103,12-03-2023,26,148,14.53,22.61,Diwali
P002,Puzzle Set B,Puzzles,101,12-03-2023,23,120,9.56,12.72,Summer Holiday
P002,Puzzle Set B,Puzzles,102,12-03-2023,49,129,18.83,35.71,Back to School
P002,Puzzle Set B,Puzzles,103,12-03-2023,29,59,15.9,23.21,Summer Holiday
P003,Doll C,Dolls,101,12-03-2023,30,114,18.97,31.35,Christmas
P003,Doll C,Dolls,102,12-03-2023,41,70,12.84,16.32,None
P003,Doll C,Dolls,103,12-03-2023,7,195,10.61,21.11,Christmas
P004,Board Game D,Board Games,101,12-03-2023,6,118,15.77,29.26,None
P004,Board Game D,Board Games,102,12-03-2023,22,194,10.29,18.39,None
P004,Board Game D,Board Games,103,12-03-2023,11,91,11.16,19.89,Diwali
P001,Action Figure A,Action Figures,101,19-03-2023,10,193,10.93,21.74,Christmas
P001,Action Figure A,Action Figures,102,19-03-2023,7,51,8.19,13.53,Summer Holiday
P001,Action Figure A,Action Figures,103,19-03-2023,22,38,19.38,37.71,Back to School
P002,Puzzle Set B,Puzzles,101,19-03-2023,39,47,15.94,19.41,Diwali
P002,Puzzle Set B,Puzzles,102,19-03-2023,42,146,10.62,14.06,Summer Holiday
P002,Puzzle Set B,Puzzles,103,19-03-2023,37,79,14.3,23.65,Back to School
P003,Doll C,Dolls,101,19-03-2023,48,139,18.79,27.68,Diwali
P003,Doll C,Dolls,102,19-03-2023,27,45,6.08,9.63,Christmas
P003,Doll C,Dolls,103,19-03-2023,36,101,6.31,9.32,Christmas
P004,Board Game D,Board Games,101,19-03-2023,8,97,10.34,12.64,Diwali
P004,Board Game D,Board Games,102,19-03-2023,9,160,10.85,21.07,None
P004,Board Game D,Board Games,103,19-03-2023,6,180,5.28,7.68,Christmas
P001,Action Figure A,Action Figures,101,26-03-2023,15,163,9.41,14.04,Diwali
P001,Action Figure A,Action Figures,102,26-03-2023,18,184,7.76,9.58,None
P001,Action Figure A,Action Figures,103,26-03-2023,25,179,12.61,23.1,Summer Holiday
P002,Puzzle Set B,Puzzles,101,26-03-2023,7,115,5.1,8.49,Back to School
P002,Puzzle Set B,Puzzles,102,26-03-2023,33,45,8.85,17.18,Back to School
P002,Puzzle Set B,Puzzles,103,26-03-2023,18,76,13.56,16.28,Back to School
P003,Doll C,Dolls,101,26-03-2023,18,117,17.54,24.46,Back to School
P003,Doll C,Dolls,102,26-03-2023,7,152,7.13,8.82,Diwali
P003,Doll C,Dolls,103,26-03-2023,17,178,8.52,13.74,None
P004,Board Game D,Board Games,101,26-03-2023,14,40,10.49,13.66,Back to School
P004,Board Game D,Board Games,102,26-03-2023,8,150,5.17,7.5,Summer Holiday
P004,Board Game D,Board Games,103,26-03-2023,7,154,5.98,11.1,Back to School
P001,Action Figure A,Action Figures,101,02-04-2023,37,140,11.09,13.94,Diwali
P001,Action Figure A,Action Figures,102,02-04-2023,39,21,10.03,18.42,Summer Holiday
P001,Action Figure A,Action Figures,103,02-04-2023,34,52,10.51,13.26,None
P002,Puzzle Set B,Puzzles,101,02-04-2023,18,107,9.82,18.92,Summer Holiday
P002,Puzzle Set B,Puzzles,102,02-04-2023,17,86,17.51,23.77,Back to School
P002,Puzzle Set B,Puzzles,103,02-04-2023,35,80,7.04,12.32,Diwali
P003,Doll C,Dolls,101,02-04-2023,14,51,11.62,20.52,Christmas
P003,Doll C,Dolls,102,02-04-2023,49,196,9.02,13.78,Back to School
P003,Doll C,Dolls,103,02-04-2023,24,164,10.51,17.27,Diwali
P004,Board Game D,Board Games,101,02-04-2023,12,168,11.81,18.96,Diwali
P004,Board Game D,Board Games,102,02-04-2023,28,126,7.51,9.16,Back to School
P004,Board Game D,Board Games,103,02-04-2023,9,95,15.7,22.95,None
P001,Action Figure A,Action Figures,101,09-04-2023,30,133,5.52,10.94,Back to School
P001,Action Figure A,Action Figures,102,09-04-2023,21,174,16.48,22.69,Back to School
P001,Action Figure A,Action Figures,103,09-04-2023,46,171,11.44,19.22,Christmas
P002,Puzzle Set B,Puzzles,101,09-04-2023,33,198,7.57,11.34,Back to School
P002,Puzzle Set B,Puzzles,102,09-04-2023,14,78,18.13,24.61,None
P002,Puzzle Set B,Puzzles,103,09-04-2023,36,87,11.94,15.95,None
P003,Doll C,Dolls,101,09-04-2023,18,150,5.4,8.04,None
P003,Doll C,Dolls,102,09-04-2023,15,198,7.31,10.04,Back to School
P003,Doll C,Dolls,103,09-04-2023,33,177,7.54,14.31,Christmas
P004,Board Game D,Board Games,101,09-04-2023,30,58,15.67,24.54,None
P004,Board Game D,Board Games,102,09-04-2023,34,145,19.26,32.72,Diwali
P004,Board Game D,Board Games,103,09-04-2023,48,29,13.01,22.89,None
P001,Action Figure A,Action Figures,101,16-04-2023,32,94,9.79,19.43,None
P001,Action Figure A,Action Figures,102,16-04-2023,27,181,11.27,19.14,Diwali
P001,Action Figure A,Action Figures,103,16-04-2023,35,178,15.44,21.69,Diwali
P002,Puzzle Set B,Puzzles,101,16-04-2023,24,90,11.72,14.51,None
P002,Puzzle Set B,Puzzles,102,16-04-2023,48,100,16.09,21.47,None
P002,Puzzle Set B,Puzzles,103,16-04-2023,46,74,15,21.23,Diwali
P003,Doll C,Dolls,101,16-04-2023,10,121,10.73,18.42,Christmas
P003,Doll C,Dolls,102,16-04-2023,42,63,14.24,24.35,Diwali
P003,Doll C,Dolls,103,16-04-2023,31,54,7.83,9.74,Summer Holiday
P004,Board Game D,Board Games,101,16-04-2023,17,33,13.9,25.21,Back to School
P004,Board Game D,Board Games,102,16-04-2023,34,71,5.14,9,Back to School
P004,Board Game D,Board Games,103,16-04-2023,15,195,17.22,26.87,Christmas
P001,Action Figure A,Action Figures,101,23-04-2023,19,41,5.37,7.32,Christmas
P001,Action Figure A,Action Figures,102,23-04-2023,36,110,8.42,16.76,Back to School
P001,Action Figure A,Action Figures,103,23-04-2023,48,176,17.56,33.68,Summer Holiday
P002,Puzzle Set B,Puzzles,101,23-04-2023,41,170,18.17,27.02,Christmas
P002,Puzzle Set B,Puzzles,102,23-04-2023,9,109,15.72,22.67,Back to School
P002,Puzzle Set B,Puzzles,103,23-04-2023,40,63,10.09,17.87,Diwali
P003,Doll C,Dolls,101,23-04-2023,27,20,11.86,15.83,Back to School
P003,Doll C,Dolls,102,23-04-2023,37,165,12.83,16.67,Christmas
P003,Doll C,Dolls,103,23-04-2023,41,147,5.88,9.33,Diwali
P004,Board Game D,Board Games,101,23-04-2023,32,169,6.87,10.37,Summer Holiday
P004,Board Game D,Board Games,102,23-04-2023,29,169,9.66,15.31,Christmas
P004,Board Game D,Board Games,103,23-04-2023,42,173,11.16,16.65,Diwali
P001,Action Figure A,Action Figures,101,30-04-2023,17,194,11.03,18.45,Back to School
P001,Action Figure A,Action Figures,102,30-04-2023,46,195,10.21,15.86,Summer Holiday
P001,Action Figure A,Action Figures,103,30-04-2023,23,197,11.54,18.78,Christmas
P002,Puzzle Set B,Puzzles,101,30-04-2023,11,70,18.52,31.89,None
P002,Puzzle Set B,Puzzles,102,30-04-2023,23,159,11.18,19.01,Summer Holiday
P002,Puzzle Set B,Puzzles,103,30-04-2023,39,103,10.59,17.37,None
P003,Doll C,Dolls,101,30-04-2023,35,177,15.88,22.7,Christmas
P003,Doll C,Dolls,102,30-04-2023,40,55,19.95,33.97,Christmas
P003,Doll C,Dolls,103,30-04-2023,21,75,19.63,26.46,None
P004,Board Game D,Board Games,101,30-04-2023,11,47,12.82,16.04,Christmas
P004,Board Game D,Board Games,102,30-04-2023,33,59,8.92,12.48,Christmas
P004,Board Game D,Board Games,103,30-04-2023,11,28,13.36,23.86,Back to School
P001,Action Figure A,Action Figures,101,07-05-2023,24,80,8.54,10.77,Summer Holiday
P001,Action Figure A,Action Figures,102,07-05-2023,6,119,15.99,30.93,None
P001,Action Figure A,Action Figures,103,07-05-2023,43,85,11.17,18.94,Back to School
P002,Puzzle Set B,Puzzles,101,07-05-2023,42,50,8.92,12.8,Christmas
P002,Puzzle Set B,Puzzles,102,07-05-2023,12,85,6.54,9.12,Christmas
P002,Puzzle Set B,Puzzles,103,07-05-2023,36,177,18.33,35.17,None
P003,Doll C,Dolls,101,07-05-2023,6,161,6.37,8.8,Back to School
P003,Doll C,Dolls,102,07-05-2023,35,95,17.18,24.97,Summer Holiday
P003,Doll C,Dolls,103,07-05-2023,8,80,7.39,14.72,Summer Holiday
P004,Board Game D,Board Games,101,07-05-2023,31,173,5.42,6.69,Summer Holiday
P004,Board Game D,Board Games,102,07-05-2023,20,190,9.27,15.02,Summer Holiday
P004,Board Game D,Board Games,103,07-05-2023,27,162,6.75,11.63,Summer Holiday
P001,Action Figure A,Action Figures,101,14-05-2023,18,94,9.11,13,Diwali
P001,Action Figure A,Action Figures,102,14-05-2023,30,76,6.87,9.4,Summer Holiday
P001,Action Figure A,Action Figures,103,14-05-2023,30,111,11.17,16.28,Summer Holiday
P002,Puzzle Set B,Puzzles,101,14-05-2023,48,79,8.24,16.39,Back to School
P002,Puzzle Set B,Puzzles,102,14-05-2023,13,128,6.85,9.87,None
P002,Puzzle Set B,Puzzles,103,14-05-2023,27,154,14.85,28.45,Back to School
P003,Doll C,Dolls,101,14-05-2023,10,87,5.97,10.45,None
P003,Doll C,Dolls,102,14-05-2023,41,171,12.48,17.38,None
P003,Doll C,Dolls,103,14-05-2023,32,100,10.52,13.29,Summer Holiday
P004,Board Game D,Board Games,101,14-05-2023,22,129,11.71,16.76,Summer Holiday
P004,Board Game D,Board Games,102,14-05-2023,22,109,11.15,14.78,Back to School
P004,Board Game D,Board Games,103,14-05-2023,39,77,13.03,21.22,Summer Holiday
P001,Action Figure A,Action Figures,101,21-05-2023,48,53,8.91,16,Diwali
P001,Action Figure A,Action Figures,102,21-05-2023,36,104,8.71,16.32,None
P001,Action Figure A,Action Figures,103,21-05-2023,41,150,17.57,34.5,None
P002,Puzzle Set B,Puzzles,101,21-05-2023,46,105,14.3,22.71,Diwali
P002,Puzzle Set B,Puzzles,102,21-05-2023,16,199,15.41,26.04,Summer Holiday
P002,Puzzle Set B,Puzzles,103,21-05-2023,26,172,9.54,16.88,Diwali
P003,Doll C,Dolls,101,21-05-2023,30,25,9.12,15,Diwali
P003,Doll C,Dolls,102,21-05-2023,6,103,12.95,18.18,Diwali
P003,Doll C,Dolls,103,21-05-2023,14,44,13.14,25.94,Christmas
P004,Board Game D,Board Games,101,21-05-2023,18,53,17.6,33.8,Christmas
P004,Board Game D,Board Games,102,21-05-2023,6,197,15.92,20.18,Back to School
P004,Board Game D,Board Games,103,21-05-2023,49,32,18.43,22.77,Christmas
P001,Action Figure A,Action Figures,101,28-05-2023,45,118,10.95,17.16,Christmas
P001,Action Figure A,Action Figures,102,28-05-2023,32,127,8.65,12.02,Summer Holiday
P001,Action Figure A,Action Figures,103,28-05-2023,8,56,12.64,18.44,Diwali
P002,Puzzle Set B,Puzzles,101,28-05-2023,36,154,7.81,14.99,Summer Holiday
P002,Puzzle Set B,Puzzles,102,28-05-2023,18,96,16.39,29.16,Diwali
P002,Puzzle Set B,Puzzles,103,28-05-2023,26,168,9.13,17.8,Summer Holiday
P003,Doll C,Dolls,101,28-05-2023,45,136,6.09,8.41,Diwali
P003,Doll C,Dolls,102,28-05-2023,24,199,11.66,22.82,None
P003,Doll C,Dolls,103,28-05-2023,8,37,15.17,22.57,Back to School
P004,Board Game D,Board Games,101,28-05-2023,15,28,15.93,22.2,Summer Holiday
P004,Board Game D,Board Games,102,28-05-2023,21,171,10.41,18.97,Summer Holiday
P004,Board Game D,Board Games,103,28-05-2023,48,94,11.18,13.91,Christmas
P001,Action Figure A,Action Figures,101,04-06-2023,17,90,6.48,11.85,Summer Holiday
P001,Action Figure A,Action Figures,102,04-06-2023,6,84,14.25,20.68,Summer Holiday
P001,Action Figure A,Action Figures,103,04-06-2023,25,86,11.01,15.73,Back to School
P002,Puzzle Set B,Puzzles,101,04-06-2023,23,150,7.2,11.76,Summer Holiday
P002,Puzzle Set B,Puzzles,102,04-06-2023,32,152,6.85,9.1,Diwali
P002,Puzzle Set B,Puzzles,103,04-06-2023,14,146,15.42,24.2,Back to School
P003,Doll C,Dolls,101,04-06-2023,24,107,7.8,12.85,Diwali
P003,Doll C,Dolls,102,04-06-2023,27,131,19.84,27.42,None
P003,Doll C,Dolls,103,04-06-2023,42,41,9.49,16.73,Summer Holiday
P004,Board Game D,Board Games,101,04-06-2023,24,87,6.66,9.3,Diwali
P004,Board Game D,Board Games,102,04-06-2023,30,119,18.55,24.32,Christmas
P004,Board Game D,Board Games,103,04-06-2023,40,138,9.02,17.54,Christmas
P001,Action Figure A,Action Figures,101,11-06-2023,14,40,10.53,16.76,Summer Holiday
P001,Action Figure A,Action Figures,102,11-06-2023,44,166,5.94,11.24,Diwali
P001,Action Figure A,Action Figures,103,11-06-2023,13,92,13.37,24.87,Diwali
P002,Puzzle Set B,Puzzles,101,11-06-2023,6,161,19.6,33.79,None
P002,Puzzle Set B,Puzzles,102,11-06-2023,26,187,9.6,11.8,Diwali
P002,Puzzle Set B,Puzzles,103,11-06-2023,18,28,17.57,34.08,None
P003,Doll C,Dolls,101,11-06-2023,17,174,15.6,26.57,Christmas
P003,Doll C,Dolls,102,11-06-2023,20,182,15.61,19.46,Christmas
P003,Doll C,Dolls,103,11-06-2023,21,80,9.48,12.57,Summer Holiday
P004,Board Game D,Board Games,101,11-06-2023,27,178,5.78,10.38,Diwali
P004,Board Game D,Board Games,102,11-06-2023,21,66,12.73,24.28,Back to School
P004,Board Game D,Board Games,103,11-06-2023,23,66,16.04,22.35,Summer Holiday
P001,Action Figure A,Action Figures,101,18-06-2023,31,88,8.77,12.79,Summer Holiday
P001,Action Figure A,Action Figures,102,18-06-2023,15,116,13.79,18.34,Back to School
P001,Action Figure A,Action Figures,103,18-06-2023,32,105,14.69,28.82,Christmas
P002,Puzzle Set B,Puzzles,101,18-06-2023,11,93,6.56,9.42,Christmas
P002,Puzzle Set B,Puzzles,102,18-06-2023,44,122,18.01,32.23,Summer Holiday
P002,Puzzle Set B,Puzzles,103,18-06-2023,30,153,8.25,13.31,Diwali
P003,Doll C,Dolls,101,18-06-2023,36,133,8.7,16.5,Summer Holiday
P003,Doll C,Dolls,102,18-06-2023,40,180,16.8,30.63,Christmas
P003,Doll C,Dolls,103,18-06-2023,12,139,16.48,26.18,None
P004,Board Game D,Board Games,101,18-06-2023,34,96,16.55,21.54,Back to School
P004,Board Game D,Board Games,102,18-06-2023,17,129,9.95,14.73,None
P004,Board Game D,Board Games,103,18-06-2023,39,131,13.74,18.3,Diwali
P001,Action Figure A,Action Figures,101,25-06-2023,13,109,7.37,9.65,Summer Holiday
P001,Action Figure A,Action Figures,102,25-06-2023,29,31,13.68,16.85,None
P001,Action Figure A,Action Figures,103,25-06-2023,28,86,9.15,11.05,Back to School
P002,Puzzle Set B,Puzzles,101,25-06-2023,12,101,9.52,11.43,Summer Holiday
P002,Puzzle Set B,Puzzles,102,25-06-2023,36,58,11.12,20.87,None
P002,Puzzle Set B,Puzzles,103,25-06-2023,6,128,17.53,23.1,Back to School
P003,Doll C,Dolls,101,25-06-2023,6,161,16.24,20.94,Back to School
P003,Doll C,Dolls,102,25-06-2023,20,92,6.97,11.13,Summer Holiday
P003,Doll C,Dolls,103,25-06-2023,6,187,15.89,29.58,Christmas
P004,Board Game D,Board Games,101,25-06-2023,33,47,13.19,24.5,Summer Holiday
P004,Board Game D,Board Games,102,25-06-2023,34,97,8.79,11.48,Back to School
P004,Board Game D,Board Games,103,25-06-2023,15,199,8.93,15.19,Diwali
P001,Action Figure A,Action Figures,101,02-07-2023,5,143,12.12,19.99,Back to School
P001,Action Figure A,Action Figures,102,02-07-2023,16,37,8.24,13.34,None
P001,Action Figure A,Action Figures,103,02-07-2023,21,112,16.64,31.96,None
P002,Puzzle Set B,Puzzles,101,02-07-2023,38,27,10.88,19.17,None
P002,Puzzle Set B,Puzzles,102,02-07-2023,49,188,18.39,25.68,Diwali
P002,Puzzle Set B,Puzzles,103,02-07-2023,48,31,6.76,11.65,Summer Holiday
P003,Doll C,Dolls,101,02-07-2023,48,174,17.25,33.05,Summer Holiday
P003,Doll C,Dolls,102,02-07-2023,22,146,16.94,29.75,Diwali
P003,Doll C,Dolls,103,02-07-2023,43,24,16.99,28.58,None
P004,Board Game D,Board Games,101,02-07-2023,48,39,13.2,19.79,Summer Holiday
P004,Board Game D,Board Games,102,02-07-2023,23,88,9.43,18.18,Christmas
P004,Board Game D,Board Games,103,02-07-2023,40,178,5.89,8.94,Diwali
P001,Action Figure A,Action Figures,101,09-07-2023,39,32,11.85,21.92,None
P001,Action Figure A,Action Figures,102,09-07-2023,10,22,13.73,26.72,Diwali
P001,Action Figure A,Action Figures,103,09-07-2023,15,139,5.05,6.41,Summer Holiday
P002,Puzzle Set B,Puzzles,101,09-07-2023,46,52,9.11,17.85,None
P002,Puzzle Set B,Puzzles,102,09-07-2023,34,194,7.82,13.57,None
P002,Puzzle Set B,Puzzles,103,09-07-2023,26,102,11.6,21.68,Christmas
P003,Doll C,Dolls,101,09-07-2023,7,156,5.56,7.86,Summer Holiday
P003,Doll C,Dolls,102,09-07-2023,23,199,7.47,10.42,None
P003,Doll C,Dolls,103,09-07-2023,45,75,15.32,22.68,None
P004,Board Game D,Board Games,101,09-07-2023,9,35,5.93,9.01,Diwali
P004,Board Game D,Board Games,102,09-07-2023,15,146,14.34,27.79,Back to School
P004,Board Game D,Board Games,103,09-07-2023,28,199,11.91,16.19,Summer Holiday
P001,Action Figure A,Action Figures,101,16-07-2023,46,162,13.8,24.66,Summer Holiday
